Personid,Sex,Age group,Ethnicity,Qualification,Work and labour force status,Personal income,Hours worked,Main means of travel to work,Cigarette smoking status,Access to a cellphone /mobile phone,Access to the Internet,meshblock
1,Female,25-34 Years,Maori,No Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,No,No,MB01
2,Female,55-64 Years,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Ex-Smoker,Yes,Yes,MB01
3,Male,45-54 Years,European,Trade or Vocational,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB01
4,Male,35-44 Years,Other Ethnicity,School Qualification,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB01
5,Male,15-24 Years,Maori,No Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB01
6,Female,15-24 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB01
7,Male,45-54 Years,Maori,No Qualification,Employed Full-time,"$30,001 - $50,000",50 Hours or More,"Drove a Car, Truck or Van",Ex-Smoker,Yes,No,MB01
8,Female,25-34 Years,European,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Ex-Smoker,Yes,No,MB01
9,Female,45-54 Years,European,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB01
10,Male,35-44 Years,Maori,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,Walked or Jogged,Ex-Smoker,Yes,No,MB01
11,Female,55-64 Years,European,Trade or Vocational,Employed Full-time,"$ 5,001 - $10,000",50 Hours or More,Did Not Travel to Work,Ex-Smoker,No,Yes,MB01
12,Male,25-34 Years,European,Trade or Vocational,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB01
13,Male,15-24 Years,Maori,No Qualification,Employed Full-time,"$30,001 - $50,000",50 Hours or More,Bicycle,Never Smoked Regularly,Yes,No,MB01
14,Female,45-54 Years,European,No Qualification,Employed Part-time,"$30,001 - $50,000",40-49 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,No,MB01
15,Female,15-24 Years,European,No Qualification,Employed Part-time,"$ 5,000 or Less",1-19 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB01
16,Male,45-54 Years,European,Trade or Vocational,Employed Full-time,"$50,001 or More",50 Hours or More,Did Not Travel to Work,Regular Smoker,Yes,Yes,MB01
17,Male,55-64 Years,European,School Qualification,Employed Full-time,"$50,001 or More",40-49 Hours,Walked or Jogged,Never Smoked Regularly,Yes,No,MB01
18,Male,35-44 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,Did Not Travel to Work,Ex-Smoker,Yes,Yes,MB01
19,Male,35-44 Years,Maori,School Qualification,Employed Full-time,"$20,001 - $30,000",40-49 Hours,Did Not Travel to Work,Never Smoked Regularly,No,No,MB01
20,Female,45-54 Years,Maori,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB01
21,Female,45-54 Years,European,School Qualification,Employed Part-time,"$ 5,001 - $10,000",40-49 Hours,Did Not Travel to Work,Ex-Smoker,Yes,No,MB01
22,Female,45-54 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB01
23,Female,55-64 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",50 Hours or More,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB01
24,Female,45-54 Years,European,University Degree or Higher,Employed Full-time,"$30,001 - $50,000",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB01
25,Female,45-54 Years,Maori,No Qualification,Employed Full-time,"$20,001 - $30,000",50 Hours or More,"Drove a Car, Truck or Van",Regular Smoker,Yes,No,MB01
26,Female,65 Years and Over,Maori,No Qualification,Employed Part-time,"$ 5,001 - $10,000",20-29 Hours,"Drove a Car, Truck or Van",Ex-Smoker,No,No,MB01
27,Male,45-54 Years,Maori,University Degree or Higher,Employed Full-time,"$50,001 or More",50 Hours or More,Did Not Travel to Work,Ex-Smoker,Yes,Yes,MB01
28,Male,15-24 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",50 Hours or More,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB01
29,Male,45-54 Years,European,No Qualification,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Ex-Smoker,No,Yes,MB01
30,Female,45-54 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",50 Hours or More,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB01
31,Female,35-44 Years,Maori,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB01
32,Female,55-64 Years,European,Trade or Vocational,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB01
33,Female,35-44 Years,Maori,No Qualification,Employed Part-time,"$ 5,001 - $10,000",30-39 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,No,MB01
34,Male,45-54 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,No,Yes,MB01
35,Female,45-54 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB01
36,Female,65 Years and Over,European,School Qualification,Employed Part-time,"$10,001 - $20,000",1-19 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,No,MB01
37,Female,45-54 Years,European,University Degree or Higher,Employed Full-time,"$30,001 - $50,000",30-39 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB01
38,Male,25-34 Years,Maori,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB01
39,Female,25-34 Years,European,Trade or Vocational,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Regular Smoker,Yes,No,MB01
40,Male,25-34 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",40-49 Hours,Did Not Travel to Work,Ex-Smoker,Yes,No,MB01
41,Male,35-44 Years,Maori,Trade or Vocational,Employed Part-time,"$20,001 - $30,000",40-49 Hours,Walked or Jogged,Regular Smoker,Yes,No,MB01
42,Female,45-54 Years,Maori,Trade or Vocational,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,No,Yes,MB01
43,Male,35-44 Years,Other Ethnicity,School Qualification,Employed Full-time,"$30,001 - $50,000",1-19 Hours,"Drove a Car, Truck or Van",Ex-Smoker,No,Yes,MB01
44,Female,25-34 Years,European,Trade or Vocational,Employed Full-time,"$50,001 or More",30-39 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB01
45,Female,65 Years and Over,European,No Qualification,Employed Part-time,"$10,001 - $20,000",40-49 Hours,Did Not Travel to Work,Never Smoked Regularly,No,No,MB01
46,Female,55-64 Years,European,No Qualification,Employed Full-time,"$20,001 - $30,000",40-49 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB01
47,Female,55-64 Years,European,University Degree or Higher,Employed Full-time,"$30,001 - $50,000",40-49 Hours,Did Not Travel to Work,Ex-Smoker,Yes,Yes,MB01
48,Male,45-54 Years,European,School Qualification,Employed Full-time,"$20,001 - $30,000",30-39 Hours,Did Not Travel to Work,Regular Smoker,Yes,Yes,MB01
49,Male,15-24 Years,Maori,School Qualification,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB01
50,Female,45-54 Years,European,School Qualification,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Regular Smoker,Yes,No,MB01
51,Female,15-24 Years,Maori,School Qualification,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Regular Smoker,Yes,No,MB01
52,Male,35-44 Years,Other Ethnicity,No Qualification,Employed Part-time,"$30,001 - $50,000",50 Hours or More,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB01
53,Male,15-24 Years,Maori,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Regular Smoker,No,Yes,MB01
54,Male,45-54 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,Walked or Jogged,Never Smoked Regularly,Yes,No,MB01
55,Female,35-44 Years,Maori,No Qualification,Employed Full-time,"$10,001 - $20,000",40-49 Hours,Did Not Travel to Work,Regular Smoker,No,Yes,MB01
56,Female,55-64 Years,European,School Qualification,Employed Full-time,"$20,001 - $30,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB01
57,Female,25-34 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB01
58,Female,55-64 Years,European,Trade or Vocational,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Ex-Smoker,No,Yes,MB01
59,Male,35-44 Years,European,No Qualification,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB01
60,Female,55-64 Years,European,School Qualification,Not Employed,"$30,001 - $50,000",Not Employed,Not Employed,Ex-Smoker,Yes,No,MB01
61,Female,35-44 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,No,Yes,MB01
62,Female,55-64 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Regular Smoker,Yes,No,MB01
63,Female,35-44 Years,Maori,No Qualification,Not Employed,"$30,001 - $50,000",Not Employed,Not Employed,Regular Smoker,Yes,No,MB01
64,Female,55-64 Years,European,Trade or Vocational,Employed Part-time,"$10,001 - $20,000",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB01
65,Female,45-54 Years,European,No Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Ex-Smoker,Yes,Yes,MB01
66,Female,55-64 Years,Maori,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,No,No,MB01
67,Male,45-54 Years,European,No Qualification,Employed Full-time,"$30,001 - $50,000",30-39 Hours,"Passenger in a Car, Truck, Van or Company Bus",Never Smoked Regularly,Yes,Yes,MB01
68,Male,55-64 Years,European,Trade or Vocational,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Ex-Smoker,Yes,No,MB01
69,Male,35-44 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB01
70,Female,45-54 Years,European,Trade or Vocational,Employed Part-time,"$50,001 or More",30-39 Hours,Did Not Travel to Work,Regular Smoker,No,Yes,MB01
71,Male,35-44 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB01
72,Female,35-44 Years,Maori,No Qualification,Employed Full-time,"$10,001 - $20,000",40-49 Hours,Did Not Travel to Work,Never Smoked Regularly,No,Yes,MB01
73,Female,45-54 Years,European,No Qualification,Employed Part-time,"$30,001 - $50,000",30-39 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB01
74,Female,45-54 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",30-39 Hours,Did Not Travel to Work,Ex-Smoker,Yes,No,MB01
75,Female,55-64 Years,European,University Degree or Higher,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB01
76,Male,15-24 Years,Maori,No Qualification,Employed Full-time,"$20,001 - $30,000",50 Hours or More,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB01
77,Female,45-54 Years,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB01
78,Male,65 Years and Over,Maori,No Qualification,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Regular Smoker,No,No,MB01
79,Female,25-34 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",30-39 Hours,Did Not Travel to Work,Ex-Smoker,Yes,Yes,MB01
80,Female,15-24 Years,European,No Qualification,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB01
81,Male,35-44 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Regular Smoker,Yes,No,MB01
82,Male,25-34 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",50 Hours or More,"Passenger in a Car, Truck, Van or Company Bus",Never Smoked Regularly,Yes,Yes,MB01
83,Male,15-24 Years,European,School Qualification,Employed Full-time,"$20,001 - $30,000",50 Hours or More,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB01
84,Male,35-44 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB01
85,Female,25-34 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Regular Smoker,No,No,MB01
86,Female,55-64 Years,European,No Qualification,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB01
87,Female,55-64 Years,European,School Qualification,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Never Smoked Regularly,No,Yes,MB01
88,Female,25-34 Years,Maori,University Degree or Higher,Employed Full-time,"$30,001 - $50,000",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB01
89,Female,45-54 Years,European,Trade or Vocational,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Ex-Smoker,Yes,Yes,MB01
90,Male,15-24 Years,European,School Qualification,Employed Part-time,"$30,001 - $50,000",20-29 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB01
91,Female,35-44 Years,Maori,School Qualification,Employed Part-time,"$10,001 - $20,000",40-49 Hours,Did Not Travel to Work,Regular Smoker,Yes,Yes,MB01
92,Female,55-64 Years,European,No Qualification,Employed Part-time,"$ 5,000 or Less",30-39 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB01
93,Male,45-54 Years,European,School Qualification,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB01
94,Male,55-64 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",30-39 Hours,Did Not Travel to Work,Ex-Smoker,Yes,Yes,MB01
95,Female,35-44 Years,European,University Degree or Higher,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Regular Smoker,No,Yes,MB01
96,Male,45-54 Years,European,School Qualification,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB01
97,Male,15-24 Years,European,No Qualification,Employed Part-time,"$ 5,000 or Less",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB01
